state,class_code,description,base_rate
CA,4297,ELECTRONIC PRE-PRESS; GRAPHIC DESIGN,0.253
CA,4299,PRINTING OPERATION / BOOKBINDING OPERATION – ALL OTHER EMPLOYEES,3.719
CA,4304,NEWSPAPER PUBLISHING OR PRINTING – ALL OTHER EMPLOYEES,5.386
CA,4351,PHOTO ENGRAVING,2.967
CA,4354,PRINTED CIRCUIT BOARD MFG,2.366
CA,4361,PHOTOGRAPHERS; PHOTOFINISHING,1.393
CA,4362,MOTION PICTURES – NEGATIVE AND PRINT PROCESSORS,1.080
CA,4410,RUBBER GOODS MFG,5.954
CA,4420,RUBBER TIRE RECAPPING OR RETREADING,8.865
CA,4432,PEN OR MECHANICAL PENCIL MFG,5.046
CA,4470,"WIRE, WIRE ROPE OR WIRE CABLE MFG – NO WIRE DRAWING",3.186
CA,4478,PLASTIC GOODS MFG,5.039
CA,4492,"SIGN MFG – METAL, PLASTIC OR WOOD",5.523
CA,4494,PLASTICS – BLOW MOLDED PRODUCTS MFG,7.134
CA,4495,PLASTICS – EXTRUSION MOLDED PRODUCTS MFG,3.900
CA,4496,PLASTICS – FABRICATED PRODUCTS MFG,5.709
CA,4497,PLASTICS – FIBER REINFORCED PLASTIC PRODUCTS MFG,5.623
CA,4498,PLASTICS – INJECTION MOLDED PRODUCTS MFG,5.533
CA,4499,PLASTICS – THERMOFORMED PRODUCTS MFG,5.833
CA,4511,ANALYTICAL OR TESTING LABORATORIES,0.542
CA,4512,BIOMEDICAL RESEARCH LABORATORIES,0.178
CA,4557,"INK, ADHESIVE, POLISH OR WAX PRODUCTS MFG",4.367
CA,4558,"PAINT, VARNISH OR LACQUER MFG; RESIN MFG",2.901
CA,4611,"DRUG, MEDICINE OR PHARMACEUTICAL PREPARATIONS MFG",1.367
CA,4623,"COSMETIC, PERSONAL CARE OR PERFUMERY PRODUCTS MFG",5.820
CA,4635,OXYGEN OR HYDROGEN MFG,3.585
CA,4665,RENDERING OR FERTILIZER MFG,8.273
CA,4683,VEGETABLE OIL MFG OR REFINING; COTTONSEED OIL MFG OR REFINING,3.980
CA,4691,ORTHOTIC OR PROSTHETIC DEVICE MFG,1.972
CA,4692,DENTAL LABORATORIES,1.532
CA,4720,SOAP OR SYNTHETIC DETERGENT MFG,4.947
CA,4740,OIL REFINING – PETROLEUM; ASPHALT/TAR DISTILLING/REFINING; GASOLINE RECOVERY,1.358
CA,4771,EXPLOSIVE MFG; ROCKET PROPELLANT MFG,1.235
CA,4828,CHEMICAL MIXING OR REPACKAGING,3.713
CA,4829,CHEMICAL MFG,2.081
CA,4831,VITAMIN OR DIETARY SUPPLEMENT MFG,5.418
CA,4983,GASKET MFG,5.038
CA,5020,CEILING INSTALLATION – SUSPENDED,3.493
CA,5027,MASONRY – LOW WAGE,9.656
CA,5028,MASONRY – HIGH WAGE,5.094
CA,5029,CONCRETE OR ASPHALT SAWING OR DRILLING,6.373
CA,5040,IRON OR STEEL ERECTION – STRUCTURAL; BRIDGE BUILDING; PAINTING – STEEL STRUCTURES OR BRIDGES,10.425
CA,5102,IRON/STEEL/BRASS/BRONZE/ALUMINUM ERECTION; FLOOR INSTALLATION – ELEVATED,6.366
CA,5107,"DOOR, DOOR FRAME/PRE-GLAZED WINDOW INSTALLATION",6.384
CA,5108,DOOR INSTALLATION – OVERHEAD DOORS,8.035
CA,5128,"INSTRUMENT INSTALLATION, SERVICE OR REPAIR",1.450
